Investor ID,Name,Country of registration/origin,Classification,Investor homepage,Opencorporates link,Comment,Action comment
37329,Katanga Mining Limited,"Congo, Dem. Rep.",Private company,,,,
37335,Triton Minera SA.,Nicaragua,Private company,,,,
37336,Agricultural Development Company of Angola,Angola,Private company,,,,
37337,Unknown (Aurantia),"Congo, Rep.",Private company,,,,
37338,Central Sugar Co,Ghana,Private company,,,,
37339,Bionic Palm Ltd,Ghana,Private company,,,,
37340,Gold Star Biofuels,Ghana,Private company,,,,
37341,Prairie Volta Rice Ltd,Ghana,Private company,,,,
37342,Unknown (Unnamed investor 12),Ghana,Private company,,,,
37343,Bio Energy Resources Ltd,Malawi,Private company,,,,
37345,Unknown (Government of Saudi Arabia),Senegal,Private company,,,,
37347,Unknown (Safe Production Ltd),Tanzania,Private company,,,,
37348,Oxman Tanzania Ltd,Tanzania,Private company,,,,
37350,Unknown (Mimran Group),Côte d'Ivoire,Private company,,,,
37351,Unknown (Tonj East Agricultural Cooperatives),South Sudan,Private company,,,,
37352,Unknown (Cogrial East Farmers' Union),South Sudan,Private company,,,,
37353,Unknown (Toch Chol Crop Production),South Sudan,Private company,,,,
37360,Caltech Ventures Ghana Ltd,Ghana,Private company,,,,
37361,Inga Farms Ltd,Ghana,Private company,,,,
37362,Unknown (Natural African Diesel Ghana Limited),Ghana,Private company,,,,
37364,Vale Mozambique,Mozambique,Private company,,,,
37366,Unknown (Kimsville Corp.),Cambodia,Private company,,,,
37367,LEBACH MINING CORPORATION,Philippines,Private company,,,,
37368,Mt. Sinai Exploration Mining and Development Corporation,Philippines,Private company,,,,
37369,Czarstone Mining Corporation,Philippines,Private company,,,,
37371,Unknown (30/4 Gialani Company Limited),Cambodia,Private company,,,,
37373,"Oryung Construction (CAM) Co, Ltd",Cambodia,Private company,,,,
37374,Unknown (Gold Foison (Cambodia) A/C Import Export & Construction),Cambodia,Private company,,,,
37375,Crystal Agro Company Limited,Cambodia,Private company,,,,
37376,Unknown (Smart Holdings),Cameroon,Private company,,,,
37378,Palm Com,Cameroon,Private company,,,,
37379,Unknown (Palmex),Central African Republic,Private company,,,,
37380,Unknown (Biocongo Global Trading),"Congo, Rep.",Private company,,,,
37384,Gabon Special Economic Zone SA,Gabon,Private company,,,,
37394,Dana Fresh,India,Private company,,,,
37397,Acharya Prafulla Chandra Roy Chemicals Pvt Ltd. (APCRC),India,Private company,,,,
37403,Unknown (),Pakistan,Private company,,,,
37407,T. Shivaleekha Biotech Private Limited,India,Private company,,,,
37414,Reliance Haryana SEZ Limited (RHSL),India,Private company,,,,
37416,Liberia Tree and Trading Company,Liberia,Private company,,,,
37417,Commerce et Industrie du Bois SA,Gabon,Private company,,,,
37418,Lumina Copper Chile S.A.,Chile,Private company,,,,
37424,Hanhe Uganda Farm Co.,Uganda,Private company,,,,
37430,River Palte SA and BBC SA,Paraguay,Private company,,,,
37435,BDFC Ethiopia Industry PLC,Ethiopia,Private company,,,,
37436,Trukai Industries Limited,Papua New Guinea,Private company,,,,
37438,Higaturu Oil Palm (HOP),Papua New Guinea,Private company,,,,
37439,New Britain Palm Oil Limited (NBPOL),Papua New Guinea,Private company,,,,
37440,Poliamba Limited,Papua New Guinea,Private company,,,,
37443,SAPH SA,Côte d'Ivoire,Private company,,,,
37444,La Société de Culture Bananière (SCB),Côte d'Ivoire,Private company,,,,
37445,SIPEF-CI SA,Côte d'Ivoire,Private company,,,,
37448,"Unknown (Eurofuel Tech, Xenerga)",Kenya,Private company,,,,
37450,SoGB,Côte d'Ivoire,Private company,,,,
37452,Camarones de Nicaragua,Nicaragua,Private company,,,,
37453,Unknown (ARS Agrofoods),Ethiopia,Private company,,,,
37455,Unknown (Ali Saif Mohammed Saif Al Ghafli),Ethiopia,Private company,,,,
37456,Unknown (Berekat Jovain Agricultural Company Private JointStock),Ethiopia,Private company,,,,
37458,"Unknown (Unnamed investor 163, Zeyoge's Agriculture and Industry PLC)",Ethiopia,Private company,,,,
37460,Unknown (Charoen Pokphand ),Myanmar,Private company,,,,
37461,Unknown (Saha Group Co ltd.),Myanmar,Private company,,,,
37462,Unknown (Mitr Phol Group),Myanmar,Private company,,,,
37463,"Unknown (Capital Rice, IBTC Group, SL Agritech Corp.)",Myanmar,Private company,,,,
37464,Maderas Cultivadas de Centroamerica,Nicaragua,Private company,,,,
37465,Orchard Agriculture and Animal Husbandry Co,Myanmar,Private company,,,,
37466,Palmares del Castillo S.A. (PALCASA),Nicaragua,Private company,,,,
37467,Mim cashew,Ghana,Private company,,,,
37468,Unknown (New Agricultural Services (Agricserv) Ltd),Ghana,Private company,,,,
37469,Unknown (Suraj Agro Ltd),Ghana,Private company,,,,
37471,Golden Exotics Limited (GEL),Ghana,Private company,,,,
37472,Symboil Ghana Ltd,Ghana,Private company,,,,
37473,DOS Palm Oil Production (Ghana Ltd),Ghana,Private company,,,,
37474,Global Agri-development Company Ghana Limited,Ghana,Private company,,,"GADCO started its operations in 2011 but went bankrupt in 2014. It was taken over by the Swiss company RMG Concept, which restarted operations in 2015",Approved
37476,Unknown (Volta Red),Ghana,Private company,,,,
37478,Unknown (Dar Al-Maskukat Trading),Philippines,Private company,,,,
37480,Agricon SH Ghana Ltd,Ghana,Private company,,,,
37481,Norpalm Ghana Ltd.,Ghana,Private company,,,,
37482,Kwale International Sugar Company (KISCOL),Kenya,Private company,,,,
37483,Unknown (FACE Foundation),Senegal,Private company,,,,
37484,McLeod Russel Uganda (MRUL),Uganda,Private company,,,,
37485,Unknown (Al Ghurair),Sudan,Private company,,,,
37486,Unknown (VP Group),Ghana,Private company,,,,
37489,Peak Timbers Ltd,Swaziland,Private company,,,,
37490,Afram Plantation Ltd,Ghana,Private company,,,,
37491,Cape Pine Investment Holdings (CPIH),South Africa,Private company,,,,
37500,Pemba Sun,Mozambique,Private company,,,,
37501,Mai Ndombe,"Congo, Dem. Rep.",Private company,,,,
37504,Dawei Development Company Limited,Myanmar,Private company,,,,
37505,Biodiesel East Africa Ltd.,Tanzania,Private company,,,,
37506,Aslan Group Tanzania Ltd.,Tanzania,Private company,,,,
37507,TM Plantations,Tanzania,Private company,,,,
37511,Unknown (Al Tamini Khaled Alhil International),Niger,Private company,,,,
37512,Unknown (Bin Taleb  international group),Niger,Private company,,,,
37513,Unknown (Unnamed investor 106),Niger,Private company,,,,
37514,Grands Domaines du Sénégal (GDS),Senegal,Private company,,,,
37516,MagMinerals Potasses Congo SA,"Congo, Rep.",Private company,,,,
37519,Congolaise Industrielle des Bois SA,"Congo, Rep.",Private company,,,,
37521,Congo Agriculture,"Congo, Rep.",Private company,,,,
37522,D1 Oils Africa Pty,Swaziland,Private company,,,,
37523,Compañía Agrícola de la Sierra Colombia S.A.,Colombia,Private company,,,,
37524,"Unknown (Vatic International Business PLC, n/a)",Ethiopia,Private company,,,,
37525,Horizon Plantation Ethiopia plc,Ethiopia,Private company,,,,
37526,Saudi Star Agricultural Development PLC,Ethiopia,Private company,,,,
37527,Amatheon Agri Zambia Limited,Zambia,Private company,,,,
37528,Outspan Agri Estates PLC,Ethiopia,Private company,,,,
37529,Norwegian Afforestation Group Uganda,Uganda,Private company,,,,
37530,PZ Wilmar,Nigeria,Private company,,,,
37532,Vaitarna Holdings Private Inc. (VHPI),Guyana,Private company,,,,
37534,Unknown (Yunnan United Development Corporation),Myanmar,Private company,,,,
37535,Varun Agriculture SARL,Madagascar,Private company,,,,
37536,National Bank of Egypt Representative Office Ethiopia,Ethiopia,Private company,,,,
37537,Madeflex S.A.,Colombia,Private company,,,,
37540,Verdanta Harvests Plc,Ethiopia,Private company,,,,
37541,Romton Agri PLC,Ethiopia,Private company,,,,
37543,GADCO Enterprise Plc,Ethiopia,Private company,,,,
37544,Toren Agro Industries PLC,Ethiopia,Private company,,,,
37545,Petropalm Corp Ethiopia PLC,Ethiopia,Private company,,,,
37547,Agrobest (Malaysia) Sdn Bhd,Malaysia,Private company,,,,
37548,Unknown (Komor Enterprise Limited),Timor-Leste,Private company,,,,
37550,PT Anugrah Rejeki Nusantara,Indonesia,Private company,,,,
37551,PT D1 Oils Indonesia,Indonesia,Private company,,,,
37552,KS Natural Resources Pte. Ltd. (KSNR),Indonesia,Private company,,,,
37553,PT Agro Enerpia Indonesia,Indonesia,Private company,,,,
37554,PT Bumi Raya Investindo,Indonesia,Private company,,,,
37557,Minamas Plantation,Indonesia,Private company,,,,
37559,PT Perkebunan Nusantara XIII (Persero) (PTPN XIII),Indonesia,Private company,,,,
37563,AUGA,Lithuania,Private company,,,,
37564,Unknown (First Resources ),Indonesia,Private company,,,,
37565,PT Dwie Warna Karya,Indonesia,Private company,,,,
37566,Kuala Lumpur Kepong Indonesia,Indonesia,Private company,,,,
37567,Unknown (Ferrostaal AG),Zambia,Private company,,,,
37571,Unknown (Clean Biofuel International PTE Ltd),Indonesia,Private company,,,,
37573,"PT Berkat Agro Sawitindo, PT Sawit Nabati Agro",Indonesia,Private company,,,,
37574,PT EN3 Green Energy,Indonesia,Private company,,,,
37575,PT Hindoli,Indonesia,Private company,,,,
37576,PT ZTE Agribusiness Indonesia,Indonesia,Private company,,,,
37579,Ethiopian Sugar Corporation,Ethiopia,Private company,,,,
37580,PT Pangkatan Indonesia,Indonesia,Private company,,,,
37581,PT Simpang Kiri,Indonesia,Private company,,,,
37583,Vijachip Vung Ang Corporation,Vietnam,Private company,,,,
37585,Cat Phu,Vietnam,Private company,,,,
37587,Dole Lanka (Pvt) Ltd.,Sri Lanka,Private company,,,,
37589,Acacia Afforestation Asia (AAA),Vietnam,Private company,,,,
37590,Green Energy Madagascar,Madagascar,Private company,,,,
37591,Fuelstock Madagascar,Madagascar,Private company,,,,
37592,Unknown (Mada Beef),Madagascar,Private company,,,,
37593,NEO Madagascar,Madagascar,Private company,,,,
37594,Société de Production d’Ethanol de Madagascar (SOPREMAD),Madagascar,Private company,,,,
37595,COMPLANT Madagascar Sugar Co. Ltd.,Madagascar,Private company,,,,
37596,Madagascar Energy Corporation,Madagascar,Private company,,,,
37597,Bio Energy Ltd.,Madagascar,Private company,,,,
37599,Avana Resources,Madagascar,Private company,,,,
37600,Rainbow Oil,Madagascar,Private company,,,,
37601,"Unknown (Global Natural Resources Holding AG, Unnamed investor 180, Unnamed investor 181)",Ethiopia,Private company,,,,
37602,Unknown (Green Co),Madagascar,Private company,,,,
37603,Unknown (B-Gasy),Madagascar,Private company,,,,
37604,Adama Spinning Factory,Ethiopia,Private company,,,,
37605,Al-Mehdi Match Makers Plc,Ethiopia,Private company,,,,
37606,ASKY Agricultural Development,Ethiopia,Private company,,,,
37607,Access Capital,Ethiopia,Private company,,,,
37608,Bruhway Agro Industry PLC,Ethiopia,Private company,,,,
37609,BGI Ethiopia,Ethiopia,Private company,,,,
37610,Daniel Agricultural Development Enterprise,Ethiopia,Private company,,,,
37611,Dr. Tamie Hadgu,Ethiopia,Private company,,,,
37612,Gashaw Takele Bezu,Ethiopia,Private company,,,,
37613,Getafan Mechanized Farming,Ethiopia,Private company,,,,
37614,"Unknown (Green Valley Agro Plc, in Ethiopia, 37614)",Ethiopia,Private company,,,,
37615,Hash Agro Industry Plc,Ethiopia,Private company,,,,
37616,JVL Overseas Pte Ltd (Ethiopian Branch),Ethiopia,Private company,,,,
37617,Kehedem Trading,Ethiopia,Private company,,,,
37618,Keystone,Ethiopia,Private company,,,,
37619,Lucci Agricultural Development Plc,Ethiopia,Private company,,,,
37620,New City Vietnam Ltd.,Vietnam,Private company,,,,
37621,Mela Agricultural Development Plc,Ethiopia,Private company,,,,
37623,Rahwa Agri-Development PLC,Ethiopia,Private company,,,,
37624,Reta,Ethiopia,Private company,,,,
37625,Saber Farms Plc,Ethiopia,Private company,,,,
37626,Tigabe Agro Industry,Ethiopia,Private company,,,,
37627,Tikimt Agricultural Plc,Ethiopia,Private company,,,,
