Investor ID Downstream,Investor Name Downstream,Investor ID Upstream,Investor Name Upstream,Relation type,Investment type,Ownership share,Loan amount,Loan currency,Loan date,Comment
38930,Forabola,40734,Kreglinger International,Parent company,,,,,,
38929,La Forestière du Lac,3577,Precious Woods Holding AG,Parent company,,,,,,
38929,La Forestière du Lac,40733,Realwood Establishment,Parent company,,,,,,
38929,La Forestière du Lac,40734,Kreglinger International,Parent company,,,,,,
40740,Abana Coffee Plc,40739,Unknown (Abana Coffee Plc),Parent company,,,,,,
40742,Ayetu Agricultural and Trading Plc,40741,Ayetu Agricultural and Trading Plc,Parent company,,,,,,
40744,Trackon Trading’s Gera Coffee Development Project,40743,Trackon Trading’s Gera Coffee Development Project,Parent company,,,,,,
40748,Ethiopian Electric Power Corporation (EEPCo),40747,Ethiopian Electric Power Corporation (EEPCo),Parent company,,,,,,
37540,Verdanta Harvests Plc,2373,Lucky Group,Parent company,,,,,,
40728,South Bukidnon Bioenergy Inc.,40749,Green Renewable Holdings,Parent company,,,,,,
40728,South Bukidnon Bioenergy Inc.,40751,Bronzeoak Philippines,Parent company,,,,,,
40753,Sangley Airport Infrastructure Group,40752,All-Asia Resources and Reclamation Corp.,Parent company,,,,,,
35117,Unknown (Widam Food),378,Widam Food,Parent company,,,,,,
36566,Arba & Tiryaki Grain and Pulse Industry Ethiopia PLC,2028,Tiryaki Agro Gida,Parent company,,,,,,
36566,Arba & Tiryaki Grain and Pulse Industry Ethiopia PLC,2610,Unknown (#158832),Parent company,,,,,,
36566,Arba & Tiryaki Grain and Pulse Industry Ethiopia PLC,2611,Unknown (#158833),Parent company,,,,,,
38004,Murrimo Macadamia Lda,2923,Crookes Brothers Ltd,Parent company,,,,,,
38004,Murrimo Macadamia Lda,4632,White Bird International,Parent company,,,,,,
40755,Polen Invest A/S,40754,Ukraine Invest A/S,Parent company,,,,,,
40758,Semenivka Agro Plus LLC,40757,AGR Invest Holding Ltd,Parent company,,,,,,
40761,Dryphholm Farming IE,40760,Kintayer KTF LLC,Parent company,,,,,,
40766,Kischentsi LLC,40762,Berend Popke van der Velde,Parent company,,,,,,
40766,Kischentsi LLC,40763,Herrit Tonkens,Parent company,,,,,,
40766,Kischentsi LLC,40764,Huzinha Kornelius Hendrick,Parent company,,,,,,
40766,Kischentsi LLC,40765,Oxana Kryachko,Parent company,,,,,,
40770,Compagnie Minière de Bélinga (COMIBEL),2012,Government of Gabon,Parent company,,,,,,
40770,Compagnie Minière de Bélinga (COMIBEL),40771,China General Technology Group,Parent company,,,,,,
40770,Compagnie Minière de Bélinga (COMIBEL),40772,Panzhihua Iron and Steel (Group) Company Limited (Pangang),Parent company,,,,,,
40774,Davydivskiy dar LLC,40757,AGR Invest Holding Ltd,Parent company,,,,,,
40759,Mega Managment Project,40774,Davydivskiy dar LLC,Parent company,,,,,,
39717,APK Donets LLC,40779,Harmelia Investments Ltd.,Parent company,,,,,,
656,AgroGeneration,895,European Bank for Reconstruction and Development,Tertiary investor/lender,,,,,,
40782,Wellaxo Investments Ltd.,656,AgroGeneration,Parent company,,,,,,
40789,First African Coconut Company,40788,First African Coconut Company,Parent company,,,,,,
38549,China-Africa Cotton Zimbabwe (PVT) Limited,3380,China-Africa Cotton Development Ltd,Parent company,,,,,,
40723,Unigrain Holding Limited,4782,Industrial Milk Company (IMC) S.A.,Parent company,,,,,,
39539,Agroprogress PE,40723,Unigrain Holding Limited,Parent company,,,,,,
39719,Agrofirm Barvinkivs`ka ALLC,40782,Wellaxo Investments Ltd.,Parent company,,,,,,
39685,Vinal Agro LLC,40777,Marrimore Holdings Ltd.,Parent company,,,,,,
40564,Sunshine Agriculture Limited,40563,sunshine Group,Parent company,,,,,,
40564,Sunshine Agriculture Limited,40797,State-owned Assets Supervision and Administration Commission of the State Council,Parent company,,,,,,
40564,Sunshine Agriculture Limited,40798,China National Import & Export Co. Ltd,Parent company,,,,,,
40799,PT Papua Agro Lestari,2260,Korindo Group,Parent company,,,,,,
40801,Mriya Bukovyna LLC,40683,Mriya Agroholdyng LLC,Parent company,,,,,,
40813,Royal Commodities Ltd,40812,Royal Commodities Ltd,Parent company,,,,,,
38626,Gold Coast Fruits Ltd,984,Commonwealth Development Corporation (CDC),Tertiary investor/lender,,,,,,
38626,Gold Coast Fruits Ltd,3503,Unknown (German),Parent company,,,,,,
38626,Gold Coast Fruits Ltd,4401,FMO (Netherlands Development Finance Company),Tertiary investor/lender,,,,,,
38626,Gold Coast Fruits Ltd,4671,Annona Sustainable Investments bv,Parent company,,,,,,
38626,Gold Coast Fruits Ltd,40814,Injaro Agricultural Capital Holdings Limited (IACHL),Parent company,,,,,,
38626,Gold Coast Fruits Ltd,40815,Alliance for a Green Revolution in Africa (AGRA),Tertiary investor/lender,,,,,,
40817,Twifo Oil Palm Plantations Limited,1114,Government of Ghana,Parent company,,,,,,
40818,Isebra Ghana Limited,40819,Usibras,Parent company,,,,,,
40821,Savannah Fruits Company (SFC),40822,Root Capital,Parent company,,,,,,
40824,Unknown (DADTCO Philafrica),40823,DADTCO Philafrica,Parent company,,,,,,
40826,Nyonkopa Cocoa Buying Company Limited,40825,Barry Callebaut Group,Parent company,,,,,,
40827,British American Tobacco Ghana Limited,4702,British American Tobacco,Parent company,,,,,,
40829,"Unknown (Gold Coast Foliage, Ltd)",40828,"Gold Coast Foliage, Ltd",Parent company,,,,,,
40830,Ghalia (Ghana) Ltd.,40831,Unknown (Ghana),Parent company,,,,,,
40830,Ghalia (Ghana) Ltd.,40832,Unknown (Italian),Parent company,,,,,,
40834,Upcountry Coffee,40833,Unknown (Upcountry Coffee),Parent company,,,,,,
40836,Sam Valley Farms Ltd,40835,Trasacco group,Parent company,,,,,,
40840,Unknown (Omnicane Investments),36287,Omnicane Africa Investment Ltd,Parent company,,,,,,
40858,"Unknown (Gulf Finance House, Ithmaar Bank, Abu Dhabi Investment House)",40855,GFH Financial Group B.S.C.,Parent company,,,,,,
40858,"Unknown (Gulf Finance House, Ithmaar Bank, Abu Dhabi Investment House)",40856,Ithmaar Bank B.S.C.,Parent company,,,,,,
40858,"Unknown (Gulf Finance House, Ithmaar Bank, Abu Dhabi Investment House)",40857,Abu Dhabi Investment House (ADIH),Parent company,,,,,,
40861,Sisaleira de Ramiane,40860,Sisaleira de Ramiane,Parent company,,,,,,
40862,Pamol Nigeria Ltd,40863,Dn Tyre & Rubber PLC,Parent company,,,,,,
39721,Ukraina Nova LLC,40783,Azent Ltd.,Parent company,,,,,,
40776,TC Farming Ukraine Limited,4970,Agromino A/S,Parent company,,,,,,
39753,Molniya-1 PAE,40776,TC Farming Ukraine Limited,Parent company,,,,,,
40874,Leyte Ironsand Mining Coporation,40732,Nicua Mining Corporation,Parent company,,,,,,
40875,Agroprosperis Bank,3521,NCH Capital Inc.,Parent company,,,,,,
40876,JTI Leaf (Mw)Ltd,40878,Japan Tobacco Incorp,Parent company,,,,,,
36078,Marampa mine,40881,Cape Lambert Resources,Parent company,,,,,,
40882,sri ghana oils extraction limited,40883,R V R Industries Pvt Ltd,Parent company,,,,,,
40866,Kagro LLC,40683,Mriya Agroholdyng LLC,Parent company,,,,,,
3525,Myronivsky Hliboproduct PJSC,4779,MHP S.E.,Parent company,,,,,,
40885,Zernoproduct MHP LLC,3525,Myronivsky Hliboproduct PJSC,Parent company,,,,,,
40886,IPE Ridnyi Krai LLC,40885,Zernoproduct MHP LLC,Parent company,,,,,,
40889,Myanmar Auto Corporation (MAC),40887,Auto Industrial Company Ltd,Parent company,,,,,,
40889,Myanmar Auto Corporation (MAC),40888,Resources & Resources Ltd,Parent company,,,,,,
40877,Mizotske RTE,40875,Agroprosperis Bank,Parent company,,,,,,
38657,"Chinese - Ukrainian Agricultural Company ""FANDA"" LLC",3544,Chinese Agricultural Corporation HuanFan Qu,Parent company,,,,,,
38657,"Chinese - Ukrainian Agricultural Company ""FANDA"" LLC",4521,DARA Group,Parent company,,,,,,
36406,ECO ORO MINERALES CORP SUCURSAL COLOMBIA,4014,Eco Oro Minerals Corp,Parent company,,,,,,
36406,ECO ORO MINERALES CORP SUCURSAL COLOMBIA,227,International Finance Corporation,Tertiary investor/lender,,,,,,
40891,Sumprocol SA,37794,GPC Group,Parent company,,,,,,
37472,Symboil Ghana Ltd,2577,Symboil AG,Parent company,,,,,,
40890,Dakor Agroholdyng,38643,Ukrlandfarming PLC,Parent company,,,,,,
40896,Euroasia Group LLC,40895,Fu Yuan Jin Liang Modern Agriculture LLC,Parent company,,,,,,
40897,Zvezda LLC,40896,Euroasia Group LLC,Parent company,,,,,,
40898,Unknown (COFCO),1348,Cofco,Parent company,,,,,,
40900,Unknown (Singban),40899,Hue Singban,Parent company,,,,,,
40901,Colombia Agro SAS,146,Cargill,Parent company,,,,,,
40902,Cargill Trading Colombia,146,Cargill,Parent company,,,,,,
40903,Cargill de Colombia,146,Cargill,Parent company,,,,,,
40904,Unknown_Cargill,40901,Colombia Agro SAS,Parent company,,,,,,
40904,Unknown_Cargill,40902,Cargill Trading Colombia,Parent company,,,,,,
40904,Unknown_Cargill,40903,Cargill de Colombia,Parent company,,,,,,
40904,Unknown_Cargill,36759,Black River Asset Management,Parent company,,,,,,
40894,Russian Far East Farm,40893,Dongjin Group,Parent company,,,,,,
40905,CPK Polyarnaia LLC,40899,Hue Singban,Parent company,,,,,,
40908,Armada Company LLC,40906,Dongning Huaxin Industry&Trade Group,Parent company,,,,,,
40910,PE Emmanuel Farm,40909,Denkhart Rodger Dean,Parent company,,,,,,
40912,Wen Lian Aquaculture LLC,40911,Dalian Wen Lian Aquacultural Co. LTD,Parent company,,,,,,
40927,Poligrow Colombia Ltda,40926,Poligrow Research + Green Oils,Parent company,,,,,,
36409,"Unknown (Poligrow, in Colombia, 36409)",40927,Poligrow Colombia Ltda,Parent company,,,,,,
40928,Tanzania Agricultural Export Processing Zone (TAEPZ) Company,40929,Unnamed Chinese owned company,Parent company,,,,,,
38637,La Cinquieme Saison,3522,SanLucar Fruit Sl,Parent company,,,,,,
40934,Kaiku,40935,Emmi,Parent company,,,,,,
40936,Vitalait,40934,Kaiku,Parent company,,,,,,
40936,Vitalait,40937,Vitalait,Parent company,,,,,,
40940,Unknown (Groupe Avril + Government),40938,Group Avril,Parent company,,,,,,
