FCL Item code,FCL Title,Group,Scientific Name,Common Name,Definition
0978,"Offals of sheep, edible",17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
0979,Fat of sheep,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Unrendered slaughter fats of sheep. See 0869.
0982,Sheep milk,18 - PRODUCTS FROM LIVE ANIMALS,,,See 0882 and derived products.
0983,Butter and Ghee of Sheep Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
0984,Cheese of Sheep Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
0985,Skim Sheep Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
0987,"Wool, Greasy",9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"A natural fibre taken from sheep or lambs. Includes fleece-washed, shorn and pulled wool (from slaughtered animals), but does not include carded or combed wool."
0988,"Wool, Degreased",9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Includes scoured and carbonized, but does not include carded or combed wool."
0994,Wool Grease and Lanolin,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Extracted from the soapy water in which wool has been scoured, or from greasy wool by meand of solvents. Lanolin is obtained by purifying wool grease. Includes wool grease olein and stearin."
0995,"Sheepskins, fresh",19 - HIDES AND SKINS,,,See 0919. Both adult and young animals.
0996,"Skins, Wet-Salted (Sheep)",19 - HIDES AND SKINS,,,Sheep and lamb skins without wool. See 0920.
0997,"Skins, Dry-Salted (Sheep)",19 - HIDES AND SKINS,,,Sheep and lamb skins without wool. See 0921.
0998,"Skins nes, Sheep",19 - HIDES AND SKINS,,,Sheep and lamb skins without wool. See 0922.
0999,"Skins with Wool, Sheep",19 - HIDES AND SKINS,,,"Sheep and lamb skins (excluding 1002), with wool on, salted, dried, limed, pickled or otherwise preserved."
1002,Karakul skins,19 - HIDES AND SKINS,,,"Raw skins of Astrakhan, Caracul, Persian or similar lambs."
1007,"Wool, Shoddy",9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Garnetted stock of wool or of fine or coarse animal hair obtained by garnetting rags or waste of spinning, weaving, knitting etc."
1008,"Hair, Carded, Combed",9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Wool and fine or coarse animal hair, carded or combed, including combed wool in fragments."
1009,"Wool, Hair Waste",9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,Noils of wool or animal hair not garnetted; other waste of wool and animal hair (excluding horsehair) not covered in 1007.
1010,Wool Tops,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,Slivers consisting of long fibres laid parallel by combing and then wound into balls.
1016,Goats,16 - LIVESTOCK,Capra spp.,,"See 0866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir and Angora."
1017,Goat meat,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat of goats and kids, whether fresh, chilled or frozen, with bone inor boneless."
1018,"Offals of goats, edible",17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1019,Fat of goats,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Unrendered slaughter fats of goats. See 0869.
1020,Goat milk,18 - PRODUCTS FROM LIVE ANIMALS,,,See 0882 and derived products.
1021,Cheese of Goat Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
1022,Butter of Goat Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
1023,Skim Milk of Goat,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
1025,"Goatskins, fresh",19 - HIDES AND SKINS,,,See 0919. Both adult and young animals.
1026,"Skins, Wet-Salted (Goats)",19 - HIDES AND SKINS,,,Includes kids. See 0920.
1027,"Skins, Dry-Salted (Goats)",19 - HIDES AND SKINS,,,Includes kids. See 0921.
1028,"Skins nes, Goats",19 - HIDES AND SKINS,,,Includes kids. See 0922.
1030,Fine goat hair,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Hair from cashmere, angora (mohair) and similar goats. Excludes carded or combed hair."
1031,Coarse goat hair,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,Common goat hair. Not carded or combed hair.
1034,Pigs,16 - LIVESTOCK,"Sus domestica 
Sus scrofa","domestic pig 
wild boar",See 0866. Excludes non-domesticated wild boars.
1035,Pig meat,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat, with the bone in, of domestic or wild pigs (e.g. wild boars),whether fresh, chilled or frozen."
1036,"Offals of pigs, edible",17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1037,Fat of pigs,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Unrendered slaughter fats of pigs. See 0869.
1038,Pork,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Pig meat, excluding butcher fat and bones."
1039,Bacon and Ham,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat of pigs, whether salted, in brine, dried or smoked."
1040,"Pig, Butcher Fat",14 - VEGETABLE AND ANIMAL OILS AND FATS,,,See 0871.
1041,Sausages of Pig Meat,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,See 0874.
1042,Pig Meat Preparations,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,See 0875.
1043,Lard,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Rendered pig fat.
